City,Country Code,Lat,Lng,Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%)
Faanui,PF,-16.48,-151.75,82.66,100,6.96,68
Palora,EC,-1.7,-77.97,78.03,69,8.05,75
Bluff,AU,-23.58,149.07,70.51,69,12.21,0
Saskylakh,RU,71.97,114.09,-25.62,38,4.94,20
Cortez,US,37.35,-108.58,40.96,52,12.75,90
Aksarka,RU,66.56,67.8,1.25,79,11.1,68
Tabatinga,BR,-21.74,-48.69,80.6,69,2.24,75
Qasigiannguit,GL,68.82,-51.19,12.2,78,6.93,75
Muros,ES,42.77,-9.06,48.87,93,8.05,20
Barrow,AR,-38.31,-60.23,78.34,52,7.4,0
Te Anau,NZ,-45.41,167.72,62.27,86,11.77,48
Beloha,MG,-25.17,45.06,74.78,91,6.62,8
Mataura,NZ,-46.19,168.86,71.01,76,1.99,44
Cidreira,BR,-30.17,-50.22,83.11,64,15.68,12
Yellowknife,CA,62.45,-114.38,10.47,66,14.99,20
Grenada,US,33.77,-89.81,30.76,45,9.17,90
Pine Hills,AU,-35.57,145.38,66.46,93,5.39,64
Vaini,IN,15.34,74.49,59.8,86,2.48,0
Aswan,EG,24.09,32.9,62.6,20,11.41,0
Victoria,BN,5.28,115.24,77.9,94,2.71,75
Victoria,BN,5.28,115.24,77.9,94,2.71,75
Jamestown,AU,-33.21,138.6,64.25,89,3.04,64
Georgetown,GY,6.8,-58.16,81.4,66,9.64,88
Longyan,CN,25.1,117.03,52.82,91,2.37,76
Blind River,CA,46.19,-82.96,8.6,65,9.17,75
Busselton,AU,-33.64,115.35,60.94,50,27.76,0
Punta Arenas,CL,-53.16,-70.91,50,46,28.86,40
Hamilton,BM,32.3,-64.78,70.88,88,18.34,75
Ushuaia,AR,-54.81,-68.31,55.4,76,12.75,40
Kapaa,US,22.08,-159.32,70.81,56,19.46,75
Kroya,ID,-6.5,108.06,70.73,96,2.48,0
Livingston,US,32.58,-88.19,42.91,56,8.05,75
Balabac,PH,7.99,117.06,80.41,100,10.76,0
Cherskiy,RU,68.75,161.3,2.42,66,9.31,64
Tomohon,ID,1.33,124.84,69.8,100,2.24,20
Rikitea,PF,-23.12,-134.97,80.77,98,15.46,32
Havelock,US,34.88,-76.9,49.46,57,8.05,1
Ovalle,CL,-30.6,-71.2,72.58,78,4.27,0
Yumen,CN,40.29,97.04,24.02,70,9.98,8
Chokurdakh,RU,70.62,147.9,-20.76,60,3.15,48
Telhara,IN,21.03,76.85,68.89,36,7.74,0
